      0.00	      0.00	      1.00
      0.10	      0.10	      0.99
      0.20	      0.20	      0.97
      0.30	      0.30	      0.94
      0.40	      0.39	      0.90
      0.50	      0.48	      0.85
      0.60	      0.56	      0.80
      0.70	      0.64	      0.73
      0.80	      0.72	      0.66
      0.90	      0.78	      0.58
      1.00	      0.84	      0.50
      1.10	      0.89	      0.41
      1.20	      0.93	      0.32
      1.30	      0.96	      0.22
      1.40	      0.99	      0.12
      1.50	      1.00	      0.02
      1.60	      1.00	     -0.08
      1.70	      0.99	     -0.18
      1.80	      0.97	     -0.28
      1.90	      0.95	     -0.37
      2.00	      0.91	     -0.46
      2.10	      0.86	     -0.55
      2.20	      0.81	     -0.63
      2.30	      0.75	     -0.70
      2.40	      0.68	     -0.77
      2.50	      0.60	     -0.83
      2.60	      0.52	     -0.88
      2.70	      0.43	     -0.92
      2.80	      0.33	     -0.96
      2.90	      0.24	     -0.98
      3.00	      0.14	     -1.00
      3.10	      0.04	     -1.00
      3.20	     -0.06	     -0.99
      3.30	     -0.16	     -0.98
      3.40	     -0.26	     -0.95
      3.50	     -0.35	     -0.92
      3.60	     -0.44	     -0.87
      3.70	     -0.53	     -0.82
      3.80	     -0.61	     -0.76
      3.90	     -0.69	     -0.69
      4.00	     -0.76	     -0.61
      4.10	     -0.82	     -0.53
      4.20	     -0.87	     -0.45
      4.30	     -0.92	     -0.35
      4.40	     -0.95	     -0.26
      4.50	     -0.98	     -0.16
      4.60	     -0.99	     -0.06
      4.70	     -1.00	      0.04
      4.80	     -1.00	      0.14
      4.90	     -0.98	      0.24
      5.00	     -0.96	      0.33
      5.10	     -0.93	      0.42
      5.20	     -0.88	      0.51
      5.30	     -0.83	      0.60
      5.40	     -0.77	      0.67
      5.50	     -0.71	      0.74
      5.60	     -0.63	      0.81
      5.70	     -0.55	      0.86
      5.80	     -0.46	      0.91
      5.90	     -0.37	      0.94
      6.00	     -0.28	      0.97
      6.10	     -0.18	      0.99
      6.20	     -0.08	      1.00
