"x"	"f(x)"	"analytical f'(x)"	"numerical f'(x)"	"analytical f''(x)"	"numerical f''(x)"
-1.290000	8.319081	-11.951868	-11.874264	15.584654	15.393806
-1.280000	8.200339	-11.796978	-11.720326	15.393618	15.205026
-1.270000	8.083135	-11.643988	-11.568276	15.204840	15.018479
-1.260000	7.967453	-11.492874	-11.418091	15.018296	14.834139
-1.250000	7.853272	-11.343615	-11.269749	14.833958	14.651981
-1.240000	7.740574	-11.196188	-11.123230	14.651801	14.471979
-1.230000	7.629342	-11.050571	-10.978510	14.471801	14.294108
-1.220000	7.519557	-10.906745	-10.835569	14.293932	14.118344
-1.210000	7.411201	-10.764686	-10.694385	14.118170	13.944663
-1.200000	7.304257	-10.624374	-10.554939	13.944491	13.773040
-1.190000	7.198708	-10.485789	-10.417208	13.772870	13.603452
-1.180000	7.094536	-10.348910	-10.281174	13.603284	13.435875
-1.170000	6.991724	-10.213717	-10.146815	13.435709	13.270286
-1.160000	6.890256	-10.080189	-10.014112	13.270122	13.106662
-1.150000	6.790115	-9.948308	-9.883045	13.106501	12.944981
-1.140000	6.691284	-9.818053	-9.753596	12.944821	12.785219
-1.130000	6.593748	-9.689405	-9.625743	12.785061	12.627356
-1.120000	6.497491	-9.562345	-9.499470	12.627199	12.471368
-1.110000	6.402496	-9.436855	-9.374756	12.471213	12.317233
-1.100000	6.308749	-9.312915	-9.251584	12.317081	12.164932
-1.090000	6.216233	-9.190507	-9.129935	12.164781	12.014442
-1.080000	6.124933	-9.069613	-9.009790	12.014293	11.865742
-1.070000	6.034836	-8.950215	-8.891133	11.865595	11.718812
-1.060000	5.945924	-8.832295	-8.773945	11.718666	11.573631
-1.050000	5.858185	-8.715836	-8.658208	11.573487	11.430179
-1.040000	5.771603	-8.600820	-8.543906	11.430037	11.288436
-1.030000	5.686164	-8.487229	-8.431022	11.288295	11.148382
-1.020000	5.601853	-8.375048	-8.319538	11.148243	11.009998
-1.010000	5.518658	-8.264259	-8.209438	11.009860	10.873263
-1.000000	5.436564	-8.154845	-8.100706	10.873127	10.738160
-0.990000	5.355557	-8.046791	-7.993324	10.738026	10.604669
-0.980000	5.275623	-7.940080	-7.887277	10.604536	10.472771
-0.970000	5.196751	-7.834695	-7.782550	10.472640	10.342448
-0.960000	5.118925	-7.730622	-7.679125	10.342318	10.213681
-0.950000	5.042134	-7.627843	-7.576988	10.213553	10.086454
-0.940000	4.966364	-7.526345	-7.476124	10.086327	9.960746
-0.930000	4.891603	-7.426112	-7.376516	9.960621	9.836542
-0.920000	4.817838	-7.327128	-7.278151	9.836418	9.713823
-0.910000	4.745056	-7.229379	-7.181013	9.713701	9.592573
-0.900000	4.673246	-7.132849	-7.085087	9.592452	9.472774
-0.890000	4.602395	-7.037525	-6.990359	9.472654	9.354409
-0.880000	4.532491	-6.943391	-6.896815	9.354291	9.237462
-0.870000	4.463523	-6.850434	-6.804441	9.237345	9.121916
-0.860000	4.395479	-6.758640	-6.713221	9.121800	9.007754
-0.850000	4.328347	-6.667994	-6.623144	9.007640	8.894962
-0.840000	4.262115	-6.578482	-6.534194	8.894849	8.783522
-0.830000	4.196773	-6.490092	-6.446359	8.783411	8.673419
-0.820000	4.132310	-6.402810	-6.359625	8.673309	8.564638
-0.810000	4.068713	-6.316621	-6.273978	8.564529	8.457163
-0.800000	4.005974	-6.231515	-6.189407	8.457056	8.350979
-0.790000	3.944080	-6.147476	-6.105897	8.350872	8.246070
-0.780000	3.883021	-6.064493	-6.023436	8.245965	8.142423
-0.770000	3.822786	-5.982553	-5.942012	8.142319	8.040021
-0.760000	3.763366	-5.901642	-5.861612	8.039919	7.938852
-0.750000	3.704750	-5.821750	-5.782223	7.938750	7.838899
-0.740000	3.646928	-5.742863	-5.703834	7.838799	7.740150
-0.730000	3.589889	-5.664970	-5.626433	7.740051	7.642589
-0.720000	3.533625	-5.588058	-5.550007	7.642492	7.546204
-0.710000	3.478125	-5.512116	-5.474545	7.546108	7.450981
-0.700000	3.423380	-5.437132	-5.400035	7.450885	7.356905
-0.690000	3.369379	-5.363095	-5.326466	7.356810	7.263963
-0.680000	3.316115	-5.289992	-5.253826	7.263870	7.172143
-0.670000	3.263576	-5.217814	-5.182105	7.172051	7.081431
-0.660000	3.211755	-5.146548	-5.111291	7.081340	6.991814
-0.650000	3.160642	-5.076183	-5.041373	6.991724	6.903280
-0.640000	3.110229	-5.006710	-4.972340	6.903190	6.815814
-0.630000	3.060505	-4.938116	-4.904182	6.815726	6.729407
-0.620000	3.011463	-4.870391	-4.836888	6.729320	6.644043
-0.610000	2.963095	-4.803526	-4.770447	6.643957	6.559713
-0.600000	2.915390	-4.737509	-4.704850	6.559628	6.476402
-0.590000	2.868342	-4.672330	-4.640086	6.476318	6.394101
